appid,developers
667970,NEOWIZ
1433140,Ryu Ga Gotoku Studio
1213740,FantaBlade Network
2313250,Evil Tortilla Games
1178490,Kit9 Studio
1222690,GSC Game World
1307550,Hopoo Games
2248760,HuniePot
1158160,PlatinumGames
427290,Ubisoft Toronto
1029690,Ubisoft Montreal
1397920,Ubisoft Kyiv
445980,Ubisoft Shanghai
590380,Ubisoft Berlin
246900,CI Games
858820,Arrowhead Game Studios
1258080,Iron Lore Entertainment
248570,THQ Nordic
1929610,Sports Interactive
641320,SEGA
311560,Chalcedony Network
239160,Stainless Games Ltd.
391460,Bankroll Studios
606880,KOG
706990,MOTIVE
355180,Square Enix
489940,Ghost Games
323850,RubberBandGames
337340,二色幽紫蝶
392110,Re零同人社
362680,Grey Havens
302670,Eidos Montreal
509980,Majorariatto
894020,Larian Studios
374040,DeadToast Entertainment
780310,iDreamSky
359870,Darkflow Software
557600,Valve
323470,Digital Confectioners
1350650,Odyssey Interactive
512900,Foulball Hangover
858810,Flying Wild Hog
1949740,SEGA
1604000,Entrada Interactive LLC
670290,KW Studios
2622000,Computer Lunch
692890,Airship Syndicate
40970,Krillbite Studio
330020,NEKO WORKs
2142790,the Bratans
1451190,Giant Army
2155120,Perfuse Entertainment
719040,Ubisoft Montpellier
201870,Flashbulb
233270,Bohemia Interactive
1283700,CAPCOM Co.
1490890,Unknown Developer
1880330,Reactive Drop Team
2325290,DoubleDutch Games
1568400,Quantic Dream
481510,Anvil Game Studios
42960,WipleGames Inc.
2495980,Unknown Developer
365450,RedCandleGames
406150,Microsoft Game Studios
2943650,NetherRealm Studios
985890,QLOC
367450,TECOPARK
2878980,Brace Yourself Games
834530,Obsidian Entertainment
544730,GIANTS Software
464920,rose-engine
291650,Hidden Variable Studios
627270,Noio
55150,Licorice
292730,Nine Dots Studio
1601580,墨鱼玩游戏
763890,Chromatic Games
1046030,Pathea Games
374280,Visceral Games
1055540,Christian Whitehead
2828860,Headcannon
241600,PagodaWest Games
1583230,Glyph Worlds
2141730,Harebrained Schemes
1361320,Overhype Studios
997010,Deep Water Studio
578310,Techland
233130,Draw Me A Pixel
895870,Avalanche Studios
1599600,DRAGO entertainment
241540,Wizard Games
350080,Black Tabby Games
1458140,Croteam
980610,id Software
1286680,Nightdive Studios
394690,AMPLITUDE Studios
299360,Treyarch
1012880,Treyarch
300,RUST LTD.
251060,Glowstick Entertainment
681280,Ubisoft Montreal
626690,Obsidian Entertainment
1182900,Aspyr (Mac
812810,Linux
606150,& Windows Update)
866800,Hangar 13
1520370,D3T
356670,Deep Field Games
1082430,Barbedwire Studios
1999360,Digitalmindsoft
210970,Remedy Entertainment
1761390,2K Marin
259080,2K China
2225070,Digital Extremes
212070,2K Australia
1543030,Blind Squirrel
368340,Feral Interactive (Mac)
368260,Standing Stone Games
1275670,Unknown Developer
729040,ArenaNet®
1592190,Hopoo Games
814540,Giant Squid
453480,DONTNOD Entertainment
1296610,Feral Interactive (Mac)
383080,Feral Interactive (Linux)
1371580,UniqueGeese
2138710,SEGA
1029780,Scott Cawthon
1974050,Dojin Otome
1623660,IMCGAMES Co.
385800,Unknown Developer
1533420,Portable Moose
1496790,Ubisoft Mainz
2420110,Rebellion
973760,Dinosaur Polo Club
1435790,Donkey Crew
627690,Owlcat Games
991780,1C Game Studios
2515020,David Szymanski
292120,Lavaflame2
1002300,Devils Details
1985690,Spicy Horse Games
239350,Cryptic Studios
282800,Boros Bros
1766740,Firaxis Games
605740,Ubisoft Montreal
1934680,KOEI TECMO GAMES CO.
1238000,LTD.
521890,semiwork
330830,Skywall Studios LLC
298630,Treyarch
208480,Treyarch
289130,B.B.STUDIO CO.
954740,LTD.
38400,Needs Games
488860,半瓶醋工作室（Half Amateur Studio）
221680,Rockstar North
368070,Sports Interactive
1954200,Mountaintop Studios
859570,House House
257850,Alawar Stargaze (Warm Lamp Games)
270150,Berzerk Studio
1536610,CAPCOM Co.
559650,Unknown Developer
257420,GrizzlyGames
388410,Oskar Stålberg
248390,Byking Inc.
429660,Sonic Team
250400,Randumb Studios
228280,Giants Software
503560,3Division
115300,Veewo Games
42680,DANKIE
236090,Noble Empire Corp.
1569040,Criterion Games
428690,Frontwing
617670,Unknown Developer
1170880,Egosoft
405640,James Bendon
977880,Cold Iron Studios
451340,MAGES. Inc.
1341290,Arkane Studios
1928980,Gearbox Software
960910,Fireproof Games
536220,Rundisc
1169040,Ghost Games
463530,Paradox Development Studio
560130,Frictional Games
71250,Okomotive
1262240,Square Enix
65980,Toylogic Inc.
1239690,Saber Interactive Inc
548570,Red Hook Studios
1216710,Payload Studios
1253920,Tango Gameworks
216150,BlackFoot Studios
1180660,Pixel Sprout Studios
611790,Acid Wizard Studio
40700,Ska Studios
250760,Realm Archive
1637320,Crazy Rocks
242680,Infinity Ward
961200,Beenox
233720,High Moon Studios
553420,Raven Software
301640,Consumer Softproducts
235540,Mithril Interactive
738520,AnukenDev
1746030,Shiny Shoe
498240,Arrowhead Game Studios
388090,GSQ Games
397950,Scavengers Studio
2427700,LiLith
285190,Skybound Games
969990,President Studio
